number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dim,params_dropout,params_event_dim,params_ffn_ratio,params_head_dropout,params_large_size,params_learning_rate,params_num_blocks,params_patch_size,params_patch_stride,params_revin,params_seq_len,params_small_size,state
36,,2026-07-06 19:30:05.889365,2026-07-06 19:30:10.510764,0 days 00:00:04.621399,512,32,0.13627358556469116,4,3,0.19321474861450022,13,0.0030449877556693807,3,4,2,1,35,5,PRUNED
37,0.22540895640850067,2026-07-06 19:30:10.537973,2026-07-06 19:32:30.592914,0 days 00:02:20.054941,128,256,0.39795499562131165,4,3,0.23700217878870605,13,0.0004065947927397212,3,16,2,0,180,7,PRUNED
38,0.11232388019561768,2026-07-06 19:32:30.608316,2026-07-06 19:32:44.118220,0 days 00:00:13.509904,128,64,0.03070059498403798,4,2,0.3175167380139441,31,0.006832958697791457,3,32,4,1,70,5,PRUNED
39,,2026-07-06 19:32:44.134046,2026-07-06 19:32:50.098130,0 days 00:00:05.964084,512,32,0.22371072100956685,4,4,0.1739749135527931,13,0.0011439421849649258,3,8,2,1,35,5,PRUNED
40,0.2159074991941452,2026-07-06 19:32:50.127009,2026-07-06 19:35:17.799553,0 days 00:02:27.672544,64,256,0.28349208691189726,4,3,0.2641882385651523,27,0.002407574461009895,3,16,2,0,180,7,PRUNED
41,0.10610050708055496,2026-07-06 19:35:17.814952,2026-07-06 19:35:27.584491,0 days 00:00:09.769539,128,32,0.3563738551473547,4,2,0.22896362135572373,13,0.0005351659316821184,3,32,4,1,70,5,PRUNED
42,0.08585075289011002,2026-07-06 19:35:27.602439,2026-07-06 19:35:54.869050,0 days 00:00:27.266611,128,32,0.16632668826613947,4,3,0.36262967799587204,13,0.003707992824102836,3,32,2,1,35,5,COMPLETE
43,0.09614360332489014,2026-07-06 19:35:54.885423,2026-07-06 19:36:04.946916,0 days 00:00:10.061493,128,32,0.168554124468723,4,3,0.3561097208975793,13,0.001970207072047866,3,32,2,1,35,5,PRUNED
44,0.08537531644105911,2026-07-06 19:36:04.972197,2026-07-06 19:36:44.487328,0 days 00:00:39.515131,128,32,0.265658613796093,4,3,0.313984345375034,13,0.003421138674636282,3,32,2,1,35,5,COMPLETE
45,0.0860227718949318,2026-07-06 19:36:44.503882,2026-07-06 19:37:11.598519,0 days 00:00:27.094637,128,32,0.26395965145065153,4,3,0.312962866605992,13,0.005329537757554,3,32,2,1,35,5,COMPLETE
46,0.09339513629674911,2026-07-06 19:37:11.615554,2026-07-06 19:37:22.204384,0 days 00:00:10.588830,128,64,0.2068379741424508,4,3,0.28024700956597776,13,0.0009328262816647418,3,4,2,1,35,5,PRUNED
47,0.10211032629013062,2026-07-06 19:37:22.220230,2026-07-06 19:37:34.011286,0 days 00:00:11.791056,128,32,0.2535580267051741,16,3,0.3338977568128902,31,0.007681121991342104,3,32,2,1,35,5,PRUNED
48,0.1505122184753418,2026-07-06 19:37:34.026291,2026-07-06 19:37:41.799885,0 days 00:00:07.773594,128,32,0.49349360557859184,4,1,0.13233188777867458,13,0.0031187832350534155,2,32,2,0,35,7,PRUNED
49,,2026-07-06 19:37:41.816425,2026-07-06 19:37:46.192469,0 days 00:00:04.376044,512,32,0.32676567911028,4,3,0.4313876417973474,13,0.001773222225510457,3,16,4,1,35,5,PRUNED
50,0.12495269626379013,2026-07-06 19:37:46.213719,2026-07-06 19:38:03.507295,0 days 00:00:17.293576,256,128,0.08387454149471474,16,2,0.3251026593124512,13,0.00863513037255666,1,32,2,1,180,5,PRUNED
51,0.11332885175943375,2026-07-06 19:38:03.528257,2026-07-06 19:39:25.126005,0 days 00:01:21.597748,128,256,0.028716940615698017,4,4,0.034597059280148446,51,0.0007122161137623472,3,4,2,1,70,5,PRUNED
52,0.08569606393575668,2026-07-06 19:39:25.141276,2026-07-06 19:39:52.643535,0 days 00:00:27.502259,128,32,0.18166946826269623,4,3,0.35559166146495275,13,0.004023668368777843,3,32,2,1,35,5,COMPLETE
53,0.08467463403940201,2026-07-06 19:39:52.662141,2026-07-06 19:40:19.833966,0 days 00:00:27.171825,128,32,0.1749382171041457,4,3,0.28976142440527786,13,0.004399045606253569,3,32,2,1,35,5,COMPLETE
54,0.08551325649023056,2026-07-06 19:40:19.853908,2026-07-06 19:40:47.332019,0 days 00:00:27.478111,128,32,0.1238948352567574,4,3,0.30008920469401656,13,0.0025368394208101887,3,32,2,1,35,5,COMPLETE
55,0.08559006452560425,2026-07-06 19:40:47.348285,2026-07-06 19:41:14.397033,0 days 00:00:27.048748,128,32,0.133460627274963,4,3,0.29398945341284105,13,0.002613660335664805,3,32,2,1,35,5,COMPLETE
