pair,horizon,regressor,coef_std,fold_stability,merged_with
GBPUSD,1,evt_GBP_S_P_Global_Services_PMI,0.008646570484243601,1.0,
GBPUSD,1,evt_USD_Consumer_Confidence,0.011166450609205437,1.0,
GBPUSD,1,evt_USD_Consumer_Price_Index_ex_Food_Energy_YoY,0.030078467012124632,1.0,evt_USD_Consumer_Price_Index_MoM; evt_USD_Consumer_Price_Index_YoY; evt_USD_Consumer_Price_Index_ex_Food_Energy_MoM
GBPUSD,1,evt_USD_Core_Personal_Consumption_Expenditures_Price_Index_YoY,0.025857013637983685,1.0,evt_USD_Core_Personal_Consumption_Expenditures_Price_Index_MoM
GBPUSD,1,evt_USD_FOMC_Economic_Projections,0.030699266081823003,1.0,
GBPUSD,1,evt_USD_FOMC_Minutes,0.011786083620680012,1.0,
GBPUSD,1,evt_USD_Fed_Interest_Rate_Decision,0.024381145228960885,1.0,
GBPUSD,1,evt_USD_Feds_Powell_speech,0.012867137330060369,1.0,
GBPUSD,1,evt_USD_Goods_Trade_Balance,0.0101502335065708,1.0,
GBPUSD,1,evt_USD_Gross_Domestic_Product_Price_Index,0.004966851727295394,1.0,evt_USD_Core_Personal_Consumption_Expenditures_QoQ; evt_USD_Gross_Domestic_Product_Annualized; evt_USD_Personal_Consumption_Expenditures_Prices_QoQ
GBPUSD,1,evt_USD_IMF_Meeting,0.009451863891581237,1.0,
GBPUSD,1,evt_USD_Initial_Jobless_Claims,0.02039705220933113,1.0,
GBPUSD,1,evt_USD_Retail_Sales_ex_Autos_MoM,0.020546133261746365,1.0,evt_USD_Retail_Sales_MoM
GBPUSD,1,evt_USD_S_P_Global_Manufacturing_PMI,0.006108150681188099,1.0,
GBPUSD,1,evt_USD_Treasury_Sec_Lew_speech,0.015985332825946927,1.0,
GBPUSD,1,evt_USD_Unemployment_Rate,0.04976428360271252,1.0,evt_USD_Average_Hourly_Earnings_MoM; evt_USD_Average_Hourly_Earnings_YoY; evt_USD_Average_Weekly_Hours; evt_USD_Labor_Force_Participation_Rate; evt_USD_Nonfarm_Payrolls
GBPUSD,1,evt_USD_Fed_Monetary_Policy_Statement,0.00846247124936699,0.9,
GBPUSD,1,evt_USD_Feds_Chair_Powell_testifies,0.0037347643312774623,0.9,
GBPUSD,1,evt_USD_Feds_Goolsbee_speech,0.005663523265519644,0.9,
GBPUSD,1,evt_USD_Feds_Stanley_Fischer_speech,0.009673471970335289,0.9,
GBPUSD,1,evt_USD_Former_Feds_Chair_Bernanke_speech,0.0015241918243789788,0.9,
GBPUSD,1,evt_USD_U6_Underemployment_Rate,-0.012374015594238319,0.9,
GBPUSD,1,evt_USD_Feds_Chair_Yellen_speech,-0.00018524506488094638,0.8,
GBPUSD,1,evt_USD_Feds_Beige_Book,0.0009323569588771994,0.6,
GBPUSD,1,evt_USD_ISM_Services_PMI,0.0030802037821838868,0.6,
GBPUSD,1,evt_USD_Interest_Rate_Projections_Longer,0.00011771748989682228,0.6,evt_USD_Interest_Rate_Projections_1st_year; evt_USD_Interest_Rate_Projections_2nd_year; evt_USD_Interest_Rate_Projections_Current
GBPUSD,5,evt_GBP_BoE_Monetary_Policy_Summary,0.020172237617458257,1.0,
GBPUSD,5,evt_GBP_BoEs_Governor_Carney_speech,0.00927483682463122,1.0,
GBPUSD,5,evt_GBP_Consumer_Inflation_Expectations,0.014944451793845752,1.0,
GBPUSD,5,evt_GBP_Gross_Domestic_Product_YoY,-0.013509835815176232,1.0,evt_GBP_Gross_Domestic_Product_QoQ
GBPUSD,5,evt_GBP_ILO_Unemployment_Rate_3M,0.007146132548209692,1.0,evt_GBP_Average_Earnings_Excluding_Bonus_3Mo_Yr; evt_GBP_Average_Earnings_Including_Bonus_3Mo_Yr; evt_GBP_Claimant_Count_Change
GBPUSD,5,evt_USD_Consumer_Price_Index_ex_Food_Energy_YoY,0.007842969305428143,1.0,evt_USD_Consumer_Price_Index_MoM; evt_USD_Consumer_Price_Index_YoY; evt_USD_Consumer_Price_Index_ex_Food_Energy_MoM
GBPUSD,5,evt_USD_Fed_Interest_Rate_Decision,0.018552084225799,1.0,
GBPUSD,5,evt_USD_Fed_Monetary_Policy_Statement,0.013943175647683857,1.0,
GBPUSD,5,evt_USD_Feds_Powell_speech,0.021049305729343586,1.0,
GBPUSD,5,evt_USD_ISM_Manufacturing_Prices_Paid,0.01895456725640081,1.0,evt_USD_ISM_Manufacturing_PMI
GBPUSD,5,evt_USD_Michigan_Consumer_Sentiment_Index,-0.009945210663848522,1.0,
GBPUSD,5,evt_USD_Retail_Sales_Control_Group,0.009077835606309646,1.0,
GBPUSD,5,evt_GBP_BoE_Interest_Rate_Decision,0.007724800068741823,0.9,evt_GBP_BoE_Asset_Purchase_Facility
GBPUSD,5,evt_GBP_S_P_Global_Manufacturing_PMI,0.010378949429639997,0.9,
GBPUSD,5,evt_USD_Feds_Beige_Book,0.002750649548039377,0.9,
GBPUSD,5,evt_USD_IMF_Meeting,0.007171251590784858,0.9,
GBPUSD,5,evt_GBP_Employment_Change_3M,0.0027165097355199043,0.8,
GBPUSD,5,evt_USD_Feds_Chair_Yellen_speech,-0.00267343474547848,0.8,
GBPUSD,5,evt_USD_Interest_Rate_Projections_Longer,0.0008355511522668656,0.7,evt_USD_Interest_Rate_Projections_1st_year; evt_USD_Interest_Rate_Projections_2nd_year; evt_USD_Interest_Rate_Projections_Current
GBPUSD,22,evt_GBP_BoE_Monetary_Policy_Summary,0.06660570525778206,1.0,
GBPUSD,22,evt_GBP_Consumer_Inflation_Expectations,0.01768007962828463,1.0,
GBPUSD,22,evt_USD_Fed_Monetary_Policy_Statement,0.020889584266297872,1.0,
GBPUSD,22,evt_USD_Feds_Kashkari_speech,-0.020563148950125277,1.0,
GBPUSD,22,evt_GBP_BoE_Monetary_Policy_Report,-0.02315688906451127,0.9,
GBPUSD,22,evt_GBP_BoE_Monetary_Policy_Report_Hearings,0.01048221060680538,0.9,
GBPUSD,22,evt_USD_Feds_Powell_speech,0.023062817735084007,0.9,
GBPUSD,22,evt_USD_Feds_Stanley_Fischer_speech,0.021941486444625326,0.9,
GBPUSD,22,evt_USD_President_Trump_speech,0.03411961762047981,0.9,
GBPUSD,22,evt_GBP_BoEs_Governor_Carney_speech,0.0022254319194294483,0.7,
GBPUSD,22,evt_USD_OPEC_Meeting,0.0037301988924260915,0.6,
GBPUSD,22,evt_USD_Retail_Sales_Control_Group,0.0023468153424301714,0.6,
USDCHF,1,evt_CHF_SNBs_Chairman_Jordan_speech,0.018738182241139222,1.0,
USDCHF,1,evt_USD_Consumer_Confidence,0.016787110131865117,1.0,
USDCHF,1,evt_USD_Consumer_Price_Index_ex_Food_Energy_YoY,0.04044899977091525,1.0,evt_USD_Consumer_Price_Index_MoM; evt_USD_Consumer_Price_Index_YoY; evt_USD_Consumer_Price_Index_ex_Food_Energy_MoM
USDCHF,1,evt_USD_EIA_Crude_Oil_Stocks_Change,0.011158900726187465,1.0,
USDCHF,1,evt_USD_FOMC_Economic_Projections,0.029791985648442484,1.0,
USDCHF,1,evt_USD_FOMC_Minutes,0.011596350330145293,1.0,
USDCHF,1,evt_USD_Fed_Interest_Rate_Decision,0.044083457392925636,1.0,
USDCHF,1,evt_USD_Former_Feds_Chair_Bernanke_speech,0.010503486621306677,1.0,
USDCHF,1,evt_USD_Goods_Trade_Balance,0.005223260662558292,1.0,
USDCHF,1,evt_USD_Gross_Domestic_Product_Price_Index,0.014847203329763735,1.0,evt_USD_Core_Personal_Consumption_Expenditures_QoQ; evt_USD_Gross_Domestic_Product_Annualized; evt_USD_Personal_Consumption_Expenditures_Prices_QoQ
USDCHF,1,evt_USD_ISM_Services_PMI,0.018274113717670945,1.0,
USDCHF,1,evt_USD_Initial_Jobless_Claims,0.05869444850172614,1.0,
USDCHF,1,evt_USD_Retail_Sales_ex_Autos_MoM,0.017234098302672425,1.0,evt_USD_Retail_Sales_MoM
USDCHF,1,evt_USD_S_P_Global_Manufacturing_PMI,0.01185953533250175,1.0,
USDCHF,1,evt_USD_Treasury_Sec_Lew_speech,0.0025979462783854755,1.0,
USDCHF,1,evt_USD_U6_Underemployment_Rate,-0.02832985159393878,1.0,
USDCHF,1,evt_USD_Unemployment_Rate,0.09889481359123055,1.0,evt_USD_Average_Hourly_Earnings_MoM; evt_USD_Average_Hourly_Earnings_YoY; evt_USD_Average_Weekly_Hours; evt_USD_Labor_Force_Participation_Rate; evt_USD_Nonfarm_Payrolls
USDCHF,1,evt_CHF_SNB_Interest_Rate_Decision,0.04737553437956479,0.9,
USDCHF,1,evt_CHF_SNB_Press_Conference,-0.016892990246434394,0.9,
USDCHF,1,evt_USD_Feds_Kashkari_speech,0.0008546922195403614,0.9,
USDCHF,1,evt_USD_Jackson_Hole_Symposium,0.0025612934501845186,0.9,
USDCHF,1,evt_USD_Michigan_Consumer_Sentiment_Index,0.009204999980840978,0.9,
USDCHF,1,evt_CHF_Gross_Domestic_Product_YoY,0.0025234202858992845,0.8,evt_CHF_Gross_Domestic_Product_QoQ
USDCHF,1,evt_CHF_SNB_Monetary_Policy_Assessment,0.005737386401369018,0.8,
USDCHF,1,evt_USD_Fed_Monetary_Policy_Statement,0.010591324610891246,0.8,
USDCHF,1,evt_USD_Feds_Powell_speech,0.002529625963247978,0.8,
USDCHF,1,evt_USD_Feds_Stanley_Fischer_speech,-0.0002189754155208591,0.8,
USDCHF,1,evt_USD_ISM_Manufacturing_Prices_Paid,0.0033895267415979687,0.8,evt_USD_ISM_Manufacturing_PMI
USDCHF,1,evt_USD_Producer_Price_Index_ex_Food_Energy_YoY,0.00034921340596581095,0.8,evt_USD_Producer_Price_Index_MoM; evt_USD_Producer_Price_Index_YoY; evt_USD_Producer_Price_Index_ex_Food_Energy_MoM
