date,ln_RV
3/25/2021,-2.000627421
3/26/2021,-2.417206018
3/29/2021,-2.191737757
3/30/2021,-2.396260223
3/31/2021,-2.126218414
4/1/2021,-2.137740041
4/2/2021,-2.706989006
4/5/2021,-2.505181687
4/6/2021,-2.291662216
4/7/2021,-1.983427165
4/8/2021,-2.265970148
4/9/2021,-2.359360566
4/12/2021,-2.354630497
4/13/2021,-2.115541517
4/14/2021,-2.451695661
4/15/2021,-2.160434473
4/16/2021,-2.400620142
4/19/2021,-1.91234372
4/20/2021,-2.215943137
4/21/2021,-2.247027098
4/22/2021,-2.041695572
4/23/2021,-2.509736939
4/26/2021,-2.14303111
4/27/2021,-2.469223427
4/28/2021,-1.828801367
4/29/2021,-2.368306011
4/30/2021,-1.92604553
5/3/2021,-2.280691134
5/4/2021,-1.969381177
5/5/2021,-2.760605226
5/6/2021,-2.395664205
5/7/2021,-0.870454041
5/10/2021,-1.893354716
5/11/2021,-2.071158052
5/12/2021,-1.008978584
5/13/2021,-1.901764411
5/14/2021,-2.556341283
5/17/2021,-2.506022795
5/18/2021,-2.492605088
5/19/2021,-1.817110549
5/20/2021,-2.367425676
5/21/2021,-1.883980466
5/24/2021,-2.185323672
5/25/2021,-2.143154876
5/26/2021,-2.208459536
5/27/2021,-2.064277474
5/28/2021,-2.1123649
6/1/2021,-2.456022027
6/2/2021,-2.405531451
6/3/2021,-2.174636103
6/4/2021,-1.589505687
6/7/2021,-2.557861743
6/8/2021,-2.720693486
6/9/2021,-2.903969626
6/10/2021,-1.962381685
6/11/2021,-2.553342852
6/14/2021,-2.670960726
6/15/2021,-2.670527152
6/16/2021,-0.867223285
6/17/2021,-1.477730083
6/18/2021,-1.597642207
6/21/2021,-1.867450421
6/22/2021,-2.05441726
6/23/2021,-2.298190309
6/24/2021,-2.330315045
6/25/2021,-2.499413441
6/28/2021,-2.160094386
6/29/2021,-2.428364214
6/30/2021,-2.051390542
7/1/2021,-2.198393218
7/2/2021,-1.724960938
7/5/2021,-2.825677053
7/6/2021,-2.099809041
7/7/2021,-1.959683242
7/8/2021,-1.978787615
7/9/2021,-2.502984624
7/12/2021,-2.369101387
7/13/2021,-1.646301372
7/14/2021,-2.39551441
7/15/2021,-2.449987879
7/16/2021,-2.528215438
7/19/2021,-2.256080582
7/20/2021,-2.091851537
7/21/2021,-2.521489775
7/22/2021,-1.675668489
7/23/2021,-2.523787054
7/26/2021,-2.377574685
7/27/2021,-2.256843248
7/28/2021,-1.822948759
7/29/2021,-2.556707723
7/30/2021,-2.474231226
8/2/2021,-2.257823947
8/3/2021,-2.678624812
8/4/2021,-2.057725597
8/5/2021,-2.396759088
8/6/2021,-2.455004588
8/9/2021,-2.612397311
8/10/2021,-2.818090366
8/11/2021,-2.364537038
8/12/2021,-2.84732131
8/13/2021,-2.935965989
8/16/2021,-2.913195665
8/17/2021,-2.376350013
8/18/2021,-1.83594997
8/19/2021,-2.353824342
8/20/2021,-2.628883192
8/23/2021,-2.408529065
8/24/2021,-2.538695726
8/25/2021,-2.355956086
8/26/2021,-2.470440317
8/27/2021,-1.838879546
8/30/2021,-3.038700876
8/31/2021,-2.43706543
9/1/2021,-2.524027123
9/2/2021,-2.956785315
9/3/2021,-1.712117658
9/6/2021,-3.442043341
9/7/2021,-2.433385248
9/8/2021,-2.651612182
9/9/2021,-2.075454201
9/10/2021,-2.768544349
9/13/2021,-2.76517357
9/14/2021,-2.13486365
9/15/2021,-2.422179562
9/16/2021,-2.456094069
9/17/2021,-2.597922182
9/20/2021,-2.734014862
9/21/2021,-2.434934633
9/22/2021,-1.354132666
9/23/2021,-2.353520275
9/24/2021,-2.579934283
9/27/2021,-2.52482314
9/28/2021,-2.156414811
9/29/2021,-2.107145537
9/30/2021,-1.99265287
10/1/2021,-2.146838129
10/4/2021,-2.505716815
10/5/2021,-2.455663387
10/6/2021,-2.228596599
10/7/2021,-2.720602547
10/8/2021,-2.489997094
10/11/2021,-2.87204237
10/12/2021,-2.65531703
10/13/2021,-2.317236544
10/14/2021,-2.756891995
10/15/2021,-2.725047544
10/18/2021,-2.494282971
10/19/2021,-2.460065901
10/20/2021,-2.748343598
10/21/2021,-2.67885808
10/22/2021,-2.566580332
10/25/2021,-2.537863631
10/26/2021,-2.674860149
10/27/2021,-2.344505784
10/28/2021,-1.565447389
10/29/2021,-1.785369097
11/1/2021,-2.332424165
11/2/2021,-2.477657072
11/3/2021,-1.820605984
11/4/2021,-2.399502232
11/5/2021,-1.987000828
11/8/2021,-2.280130288
11/9/2021,-2.105195713
11/10/2021,-1.531467993
11/11/2021,-2.14075125
11/12/2021,-2.350799448
11/15/2021,-1.836496859
11/16/2021,-1.690438143
11/17/2021,-1.444916321
11/18/2021,-2.054339501
11/19/2021,-1.260117842
11/22/2021,-1.357107112
11/23/2021,-2.093760565
11/24/2021,-1.549683889
11/25/2021,-2.798704426
11/26/2021,-1.264802746
11/29/2021,-1.996631098
11/30/2021,-0.893192043
12/1/2021,-1.394222841
12/2/2021,-2.161235649
12/3/2021,-1.461307013
12/6/2021,-2.229203163
12/7/2021,-1.953205172
12/8/2021,-1.997079577
12/9/2021,-2.219148837
12/10/2021,-1.306870984
12/13/2021,-2.095010233
12/14/2021,-2.342912521
12/15/2021,-1.525420716
12/16/2021,-1.525915128
12/17/2021,-2.000807692
12/20/2021,-2.050905987
12/21/2021,-2.281242483
12/22/2021,-1.945025023
12/23/2021,-2.189455387
12/24/2021,-2.489846347
12/27/2021,-2.309271196
12/28/2021,-2.351896276
12/29/2021,-2.098977946
12/30/2021,-1.734032658
12/31/2021,-1.583237644
1/3/2022,-1.730754857
1/4/2022,-1.996776384
1/5/2022,-1.845318794
1/6/2022,-1.678831734
1/7/2022,-2.025760665
1/10/2022,-2.017467115
1/11/2022,-2.205350788
1/12/2022,-1.945182696
1/13/2022,-1.867309719
1/14/2022,-1.987144796
1/17/2022,-2.336967971
1/18/2022,-1.846998174
1/19/2022,-2.279690446
1/20/2022,-2.118995471
1/21/2022,-2.29052494
1/24/2022,-2.003222088
1/25/2022,-2.320276548
1/26/2022,-1.920040534
1/27/2022,-1.601225677
1/28/2022,-1.607412967
1/31/2022,-1.791338413
2/1/2022,-1.679720655
2/2/2022,-2.146532798
2/3/2022,-0.711373173
2/4/2022,-1.086497185
2/7/2022,-1.741258691
2/8/2022,-1.902199364
2/9/2022,-2.159995122
2/10/2022,-0.659638966
2/11/2022,-1.041201072
2/14/2022,-1.261431777
2/15/2022,-1.549053624
2/16/2022,-2.051087684
2/17/2022,-0.966613556
2/18/2022,-1.999650421
2/21/2022,-1.759689723
2/22/2022,-1.366599072
2/23/2022,-2.017732538
