date,lnRV
2017-11-03,-1.4318057361191174
2017-11-06,-1.4609149882091998
2017-11-07,-2.015294936479004
2017-11-08,-1.8998472657077026
2017-11-09,-1.4143655965030764
2017-11-10,-1.8346011865059504
2017-11-13,-2.333969766695339
2017-11-14,-1.9523724564009486
2017-11-15,-1.2421979984841929
2017-11-16,-1.7357529673519825
2017-11-17,-1.5557550394875024
2017-11-20,-1.6897374573158062
2017-11-21,-1.990707367016133
2017-11-22,-1.6179968026943305
2017-11-23,-2.313310606492284
2017-11-24,-2.273622730875094
2017-11-27,-1.6147021863002478
2017-11-28,-1.3126278347951972
2017-11-29,-1.428522434728533
2017-11-30,-1.5486620363165435
2017-12-01,-0.26706103194944225
2017-12-04,-1.8147040351398396
2017-12-05,-1.6557555542483686
2017-12-06,-1.5244362731761545
2017-12-07,-2.103672633812166
2017-12-08,-2.13500421079402
2017-12-11,-2.2542227554180956
2017-12-12,-1.9700177366635283
2017-12-13,-1.1713121590516051
2017-12-14,-1.7003439022121751
2017-12-15,-1.9380369112240472
2017-12-18,-2.5065474393735423
2017-12-19,-2.5276285512350336
2017-12-20,-2.5657986734509977
2017-12-21,-2.655061868063123
2017-12-22,-3.3921697990923043
2017-12-26,-4.082371942856491
2017-12-27,-2.92757099122483
2017-12-28,-2.731289739630903
2017-12-29,-2.5211144538205295
2018-01-02,-2.2730897138092994
2018-01-03,-2.213915619701274
2018-01-04,-2.5374705413158525
2018-01-05,-2.3455809098481013
2018-01-08,-2.5898124389854775
2018-01-09,-1.664760457762563
2018-01-10,-1.1325980680058492
2018-01-11,-1.5044536317670063
2018-01-12,-1.3240826059134663
2018-01-15,-1.5655008346912425
2018-01-16,-1.6813925831083338
2018-01-17,-1.2535340633652923
2018-01-18,-1.12317488805351
2018-01-19,-1.6476216080017112
2018-01-22,-2.0019699268846267
2018-01-23,-1.264434403310945
2018-01-24,-1.006961434714297
2018-01-25,-0.2256570769951934
2018-01-26,-0.0319097512028785
2018-01-29,-1.4712392889879993
2018-01-30,-1.237886850216713
2018-01-31,-1.0545813158280068
2018-02-01,-1.3586278670509382
2018-02-02,-0.8248392896175181
2018-02-05,-0.6218634555928184
2018-02-06,-0.5272279182698437
2018-02-07,-0.95731384521398
2018-02-08,-0.8902409901935894
2018-02-09,-0.6280605848141061
2018-02-12,-1.879532457675176
2018-02-13,-1.2606262345968737
2018-02-14,-0.5075201073004664
2018-02-15,-0.5239145799604482
2018-02-16,-0.9028592888509763
2018-02-19,-1.860616866820097
2018-02-20,-1.6108526815861333
2018-02-21,-1.0486196473489058
2018-02-22,-1.1278489428015295
2018-02-23,-1.7285835050387897
2018-02-26,-1.4472310565953372
2018-02-27,-1.345777397801694
2018-02-28,-1.3594451832290388
2018-03-01,-1.1303255603766778
2018-03-02,-0.9308646230171607
2018-03-05,-1.5038113428255706
2018-03-06,-1.3786947930571163
2018-03-07,-0.7306081102679036
2018-03-08,-1.9907092654193788
2018-03-09,-1.6132251311082035
2018-03-12,-1.7158332507234797
2018-03-13,-1.1068397121798095
2018-03-14,-1.4437309955698387
2018-03-15,-1.3710675652794002
2018-03-16,-1.4549042165539727
2018-03-19,-1.4044151462866137
2018-03-20,-1.3621914123903613
2018-03-21,-1.6921676201229934
2018-03-22,-1.2386341406204624
2018-03-23,-0.8546243481489235
2018-03-26,-1.6469106335676909
2018-03-27,-1.6849055901486745
2018-03-28,-1.1975798762842969
2018-03-29,-1.821305668014392
2018-03-30,-2.361380788744756
2018-04-02,-2.022479744204422
2018-04-03,-1.4004664871637211
2018-04-04,-1.4519936466789913
2018-04-05,-1.8412524449196617
2018-04-06,-1.2580789103539332
2018-04-09,-1.9458124598076447
2018-04-10,-1.4671995248952812
2018-04-11,-1.7269598757463136
2018-04-12,-2.0201607407820577
2018-04-13,-2.105791735844215
2018-04-16,-2.1731392574490576
2018-04-17,-2.609453149641125
2018-04-18,-2.684988134141167
2018-04-19,-2.4011494751737144
2018-04-20,-2.1013613518276544
2018-04-23,-2.060916664915797
2018-04-24,-1.8011690406203595
2018-04-25,-1.8543587884947654
2018-04-26,-2.0870481669228016
2018-04-27,-1.8876221052551132
2018-04-30,-2.4554085911099173
2018-05-01,-2.3586030816169643
2018-05-02,-1.7796236518934823
2018-05-03,-1.9997757121929451
2018-05-04,-1.6647298993760384
2018-05-07,-2.1830338992014924
2018-05-08,-1.5577233950035785
2018-05-09,-1.7961717458919912
2018-05-10,-1.5179497163885596
2018-05-11,-1.8957313406264003
2018-05-14,-2.499462318879727
2018-05-15,-1.7426933385129033
2018-05-16,-2.1581910370412323
2018-05-17,-2.0455721122424
2018-05-18,-2.230997061514716
2018-05-21,-2.370211363660739
2018-05-22,-2.0370173627527084
2018-05-23,-1.257009147124688
2018-05-24,-1.2632849958302637
2018-05-25,-1.541331159272016
2018-05-28,-1.9550465021747636
2018-05-29,-0.8245551061852018
2018-05-30,-0.958917092419629
2018-05-31,-1.345593983421633
2018-06-01,-1.5801627711417485
2018-06-04,-2.122627650471909
2018-06-05,-1.979224802164288
2018-06-06,-2.083331604110319
2018-06-07,-1.8587090569844602
2018-06-08,-1.6943056392621452
2018-06-11,-2.040712875119583
2018-06-12,-1.8828556338528009
2018-06-13,-1.674311404301583
2018-06-14,-1.7561984009792806
2018-06-15,-1.50703408676327
2018-06-18,-2.438481606212555
2018-06-19,-1.3253985864809408
2018-06-20,-1.927475587975447
2018-06-21,-1.757164030733877
2018-06-22,-2.13713934454693
2018-06-25,-1.1849777464810212
2018-06-26,-1.8388048819778648
2018-06-27,-1.4613879712490225
2018-06-28,-1.9713460511638035
2018-06-29,-1.9110233386488433
2018-07-02,-1.7997716969187325
2018-07-03,-2.010258604548651
2018-07-04,-2.8002963878978133
2018-07-05,-2.2223910323426965
2018-07-06,-2.2566391480043895
2018-07-09,-2.426073458314901
2018-07-10,-2.436055070201617
2018-07-11,-1.682070037687934
2018-07-12,-1.9322956660701307
2018-07-13,-2.2951914127175965
2018-07-16,-2.4070803057702275
2018-07-17,-2.2775598862367796
