date,lnRV
2022-12-22,-1.3607042061822319
2022-12-23,-1.2120382615116223
2022-12-26,-1.9157332260549707
2022-12-27,-1.8163597822357593
2022-12-28,-1.4835395851072877
2022-12-29,-1.6958275913443943
2022-12-30,-1.123196060155511
2023-01-03,-0.9780140007678151
2023-01-04,-1.1145988556304274
2023-01-05,-1.5883283070254002
2023-01-06,-1.476594367940108
2023-01-09,-1.6672371981481884
2023-01-10,-1.717885530021191
2023-01-11,-2.09489489782619
2023-01-12,-1.4015970653966963
2023-01-13,-1.61656022918294
2023-01-16,-1.95583864835004
2023-01-17,-1.0926497904011334
2023-01-18,-1.2161493405791302
2023-01-19,-1.4267885536644838
2023-01-20,-1.9481944046514947
2023-01-23,-1.6267743432864095
2023-01-24,-1.4906817674192379
2023-01-25,-1.7520253482869559
2023-01-26,-1.8882351892798024
2023-01-27,-2.1380088072870107
2023-01-30,-2.027185042641784
2023-01-31,-1.8774770810539538
2023-02-01,-2.02115682005825
2023-02-02,-0.745031516901712
2023-02-03,-1.4877606049137362
2023-02-06,-1.9214057203843935
2023-02-07,-1.7207747394081772
2023-02-08,-2.049892101685423
2023-02-09,-1.9324871038301392
2023-02-10,-2.116049438722771
2023-02-13,-2.0198969006185026
2023-02-14,-1.57950802504251
2023-02-15,-1.452770005979444
2023-02-16,-1.9208098868082264
2023-02-17,-1.7339652085480413
2023-02-20,-2.6051136374290147
2023-02-21,-0.9154179163469078
2023-02-22,-2.0280836154811865
2023-02-23,-2.0980013751990283
2023-02-24,-2.0746491010730588
2023-02-27,-1.9798568989429448
2023-02-28,-1.8906808185798156
2023-03-01,-1.250176852887042
2023-03-02,-1.824348395644805
2023-03-03,-2.0305284010099762
2023-03-06,-1.8866512257712222
2023-03-07,-1.6849001263005159
2023-03-08,-2.160250786626771
2023-03-09,-2.197167242922728
2023-03-10,-1.3531291810741986
2023-03-13,-1.2728450386706718
2023-03-14,-1.7665805389359455
2023-03-15,-0.8172860470746258
2023-03-16,-1.2734204005294525
2023-03-17,-1.727740251494905
2023-03-20,-1.7773642699667858
2023-03-21,-1.7045263093887684
2023-03-22,-1.2368437431472439
2023-03-23,-1.5139917073290705
2023-03-24,-1.696678757728525
2023-03-27,-1.9741995695921482
2023-03-28,-2.418954860182897
2023-03-29,-2.22073017316802
2023-03-30,-2.094546890510127
2023-03-31,-1.8956172992704512
2023-04-03,-2.026961927198265
2023-04-04,-1.9295790561468043
2023-04-05,-1.9628520943843528
2023-04-06,-2.349218745871646
2023-04-07,-2.529167212515768
2023-04-10,-2.258729465457896
2023-04-11,-2.4378952340252353
2023-04-12,-2.0033470458317044
2023-04-13,-2.3226179971916348
2023-04-14,-2.6412500341018235
2023-04-17,-2.4126161539799305
2023-04-18,-2.3441685026047923
