date,lnRV
2014-09-24,-2.1870845557726213
2014-09-25,-1.5318863468606745
2014-09-26,-1.9596912148675805
2014-09-29,-1.958519737892391
2014-09-30,-1.6456942728729358
2014-10-01,-1.5190196887776737
2014-10-02,-1.346849803996103
2014-10-03,-1.7024408441575933
2014-10-06,-1.7238024050005432
2014-10-07,-1.5877046480198185
2014-10-08,-0.9872978848453065
2014-10-09,-1.615693613037451
2014-10-10,-1.9507074323062221
2014-10-13,-1.8477787072241425
2014-10-14,-1.5298404249340734
2014-10-15,-0.5535572356680004
2014-10-16,-0.780584383253034
2014-10-17,-1.1458977841286924
2014-10-20,-1.9791259260552185
2014-10-21,-2.151187086731775
2014-10-22,-1.684554678613605
2014-10-23,-1.6905780506243988
2014-10-24,-1.7634417347994484
2014-10-27,-2.3991890522795827
2014-10-28,-2.0977674622857614
2014-10-29,-1.5119108849811995
2014-10-30,-2.0194685714997136
2014-10-31,-1.645705266843576
2014-11-03,-1.8821748205294413
2014-11-04,-2.3933827024599834
2014-11-05,-1.3747484955540052
2014-11-06,-1.6113669212667152
2014-11-07,-1.4088538129751358
2014-11-10,-2.1196864258265777
2014-11-11,-2.003118797390451
2014-11-12,-1.4122698671397969
2014-11-13,-2.2532827268737363
2014-11-14,-1.425588771740139
2014-11-17,-1.8477200372312217
2014-11-18,-1.967049527408157
2014-11-19,-1.311936533232651
2014-11-20,-1.3449212320285833
2014-11-21,-1.565342747540748
2014-11-24,-2.169101589169301
2014-11-25,-1.848279407929011
2014-11-26,-1.5813931532641223
2014-11-27,-1.700334106360731
2014-11-28,-1.704086310731362
2014-12-01,-1.1966730675501098
2014-12-02,-1.8916531722364056
2014-12-03,-1.9965341447135463
2014-12-04,-1.2702820667670947
2014-12-05,-1.2757377783519357
2014-12-08,-1.8698725699189747
2014-12-09,-1.398037386659601
2014-12-10,-1.7745736670595083
2014-12-11,-1.2900662741631315
2014-12-12,-1.7336168719024807
2014-12-15,-1.6722509496352436
2014-12-16,-0.9770650176310506
2014-12-17,-0.5062715981862131
2014-12-18,-1.3298989455817325
2014-12-19,-1.7147758369018906
2014-12-22,-1.6701274574806413
2014-12-23,-1.4427344088083294
2014-12-24,-2.2163204790546946
2014-12-26,-3.0457198145635545
2014-12-29,-2.091045855133222
2014-12-30,-2.17516575451282
